city,temperature,carbon_intensity,date_time
Paris,5.79,69.0,2025-02-13 12:36:44
Paris,5.79,69.0,2025-02-13 12:36:44
Paris,5.67,69.0,2025-02-13 12:41:46
Paris,5.67,69.0,2025-02-13 12:41:46
Paris,5.59,69.0,2025-02-13 12:37:21
Paris,5.59,69.0,2025-02-13 12:37:21
Paris,5.87,69.0,2025-02-13 12:49:21
Paris,5.87,69.0,2025-02-13 12:49:21
Paris,5.87,69.0,2025-02-13 12:49:21
Paris,5.87,69.0,2025-02-13 12:49:21
Paris,5.87,69.0,2025-02-13 12:49:21
Paris,5.87,69.0,2025-02-13 12:49:21
Paris,5.86,69.0,2025-02-13 12:45:48
Paris,5.86,69.0,2025-02-13 12:45:48
Paris,5.86,69.0,2025-02-13 12:45:48
Paris,5.86,69.0,2025-02-13 12:45:48
Paris,5.86,69.0,2025-02-13 12:45:48
Paris,5.86,69.0,2025-02-13 12:45:48
Paris,5.86,69.0,2025-02-13 12:45:48
Paris,5.86,69.0,2025-02-13 12:45:48
Paris,5.86,69.0,2025-02-13 12:45:48
Paris,5.86,69.0,2025-02-13 12:45:48
Paris,5.86,69.0,2025-02-13 12:45:48
Paris,5.87,69.0,2025-02-13 12:46:48
Paris,5.87,69.0,2025-02-13 12:46:48
Paris,5.87,69.0,2025-02-13 12:46:48
Paris,5.87,69.0,2025-02-13 12:46:48
Paris,5.87,69.0,2025-02-13 12:57:09
Paris,5.87,69.0,2025-02-13 12:57:09
Paris,5.87,68.0,2025-02-13 12:57:09
Paris,5.87,68.0,2025-02-13 12:57:09
Paris,5.87,68.0,2025-02-13 12:57:09
Paris,5.87,68.0,2025-02-13 12:57:09
Paris,5.87,68.0,2025-02-13 12:59:47
Paris,5.87,68.0,2025-02-13 12:59:47
Paris,5.87,68.0,2025-02-13 12:59:47
Paris,5.87,68.0,2025-02-13 12:59:47
Paris,5.87,68.0,2025-02-13 12:59:47
Paris,5.87,68.0,2025-02-13 12:59:47
Paris,5.87,68.0,2025-02-13 12:59:47
Paris,5.87,68.0,2025-02-13 12:59:47
Paris,5.87,68.0,2025-02-13 12:59:47
Paris,5.87,68.0,2025-02-13 12:59:47
Paris,5.87,68.0,2025-02-13 12:59:47
Paris,5.87,68.0,2025-02-13 12:59:47
Paris,5.87,68.0,2025-02-13 12:57:09
Paris,5.87,68.0,2025-02-13 12:57:09
Paris,5.87,68.0,2025-02-13 12:57:09
Paris,5.87,68.0,2025-02-13 12:57:09
Paris,5.87,68.0,2025-02-13 13:07:22
Paris,5.87,68.0,2025-02-13 13:07:22
Paris,5.87,68.0,2025-02-13 13:07:22
Paris,5.87,68.0,2025-02-13 13:07:22
Paris,5.87,68.0,2025-02-13 13:07:22
Paris,5.87,68.0,2025-02-13 13:07:22
Paris,5.87,68.0,2025-02-13 13:07:22
Paris,5.87,68.0,2025-02-13 13:07:22
Paris,5.87,68.0,2025-02-13 13:12:30
Paris,5.87,68.0,2025-02-13 13:12:30
Paris,5.87,68.0,2025-02-13 13:12:30
Paris,5.87,68.0,2025-02-13 13:12:30
Paris,5.87,68.0,2025-02-13 13:12:30
Paris,5.87,68.0,2025-02-13 13:12:30
Paris,5.87,68.0,2025-02-13 13:12:30
Paris,5.87,68.0,2025-02-13 13:08:25
Paris,5.87,68.0,2025-02-13 13:08:25
Paris,5.98,68.0,2025-02-13 13:17:31
Paris,5.98,68.0,2025-02-13 13:17:31
Paris,5.87,68.0,2025-02-13 13:12:30
Paris,5.87,68.0,2025-02-13 13:12:30
Paris,5.87,68.0,2025-02-13 13:12:30
Paris,5.87,68.0,2025-02-13 13:12:30
Paris,5.98,68.0,2025-02-13 13:17:27
Paris,5.98,68.0,2025-02-13 13:17:27
Paris,5.98,68.0,2025-02-13 13:17:27
Paris,5.98,68.0,2025-02-13 13:17:27
